recnum;Objid;Metod;Startdag;Stoppdag;Mattid;Punkt1;Resultat1;Variation1;Enhet;Punkt2;Resultat2;Variation2;Punkt3;Resultat3;Variation3;Punkt4;Resultat4;Variation4;Punkt5;Resultat5;Variation5;Medelvarde;Variation;Fastighet;Adress1;LagenhetNr;Vaning1;Vaning2;Vaning3;Vaning4;Vaning5;Utford_av;Ort1;Postnummer1;Hustyp;Byggnadsar;Ombyggnad;Byggmaterial;Mark;Grund;Grundtat;Ventilation;Xkordinat;Ykordinat
1;6291;RM-3;;;24;;25.0000;;BQ/M3;;;;;;;;;;;;;;;AGGAN 5, STÄMNINGSGÅRDEN;STENBACKAVÄGEN 17;;;;;;;;;;;;;;;;;;;
2;6292;SPÅRFILM;1997-02-14 00:00:00.000;1997-05-20 00:00:00.000;95 dygn;VARDAGSRUM;40.0000;;Bq/m³ Radongas;SOVRUM;34.0000;;;;;;;;;;;37.0000;;ALDEBARAN 12;KANALGATAN 23;;;;;;;KAROLINSKA INSTITUTET;;;FLERPLANSHUS;1969;;;;;;MEKANISK FRÅNLUFT;7193061.000000000000000;1744578.000000000000000
3;6293;SPÅRFILM;1991-01-15 00:00:00.000;1991-04-15 00:00:00.000;;;;;Bq/m³ Radongas;;;;;;;;;;;;;100.0000;;ALMEN 24;ÅSGATAN 12;;;;;;;;;;;;;;;;;;;
4;58987;SPÅRFILM;1990-12-12 00:00:00.000;1991-03-10 00:00:00.000;;MATRUM;276.0000;+-40;Bq/m³ Radongas;SOVRUM;256.0000;+-40;;;;;;;;;;260.0000;;ALMEN 26;ÅSGATAN 16;;1;1;;;;SVERIGES GEOLOGISKA AB;;;;1949;;BLÅ BETONG;;KÄLLARE;0;MEKANISK TILL/FRÅNLUFT;7194551.470000000000000;782907.110000000000000
5;6295;SPÅRFILM;1997-01-22 00:00:00.000;1997-04-28 00:00:00.000;96 dygn;VARDAGSRUM;216.0000;;Bq/m³ Radongas;SOVRUM;252.0000;;;;;;;;;;;234.0000;;ALMEN 29;NORRBÖLEGATAN 11;;;;;;;KAROLINSKA INSTITUTET;;;PERMANENTBOSTAD;;;;;;;;7193401.000000000000000;1744724.000000000000000
6;6296;SPÅRFILM;1991-01-10 00:00:00.000;1991-04-15 00:00:00.000;95 dygn;VARDAGSRUM;562.0000;40;Bq/m³ Radongas;SOVRUM;554.0000;40;;;;;;;;;;560.0000;;ALMEN 31;NORRBÖLEGATAN 7;;1;1;;;;SVERIGES GEOLOGISKA AB;;;FLERPLANSHUS;1939;;BLÅ BETONG;;;;;7193400.000000000000000;1744668.000000000000000
7;6296;SPÅRFILM;1992-01-27 00:00:00.000;1992-03-31 00:00:00.000;64 dygn;VARDAGSRUM;178.0000;40;Bq/m³ Radongas;SOVRUM;154.0000;40;;;;;;;;;;160.0000;;ALMEN 31;NORRBÖLEGATAN 7;;3;3;;;;SVERIGES GEOLOGISKA AB;;;FLERPLANSHUS;1939;;BLÅ BETONG;;;;;7193400.000000000000000;1744668.000000000000000
8;6296;SPÅRFILM;1992-01-27 00:00:00.000;1992-03-31 00:00:00.000;64 dygn;SOVRUM;292.0000;40;Bq/m³ Radongas;VARDAGSRUM;316.0000;40;;;;;;;;;;300.0000;;ALMEN 31;NORRBÖLEGATAN 7;;2;2;;;;SVERIGES GEOLOGISKA AB;;;FLERPLANSHUS;1939;;BLÅ BETONG;;;;;7193400.000000000000000;1744668.000000000000000
9;6299;SPÅRFILM;1997-01-21 00:00:00.000;1997-04-23 00:00:00.000;92 dygn;VARDAGSRUM;31.0000;;BQ/M3;SOVRUM;32.0000;;;;;;;;;;;31.0000;;ASK 31;ODALGATAN 5;;;;;;;KAROLINSKA INSTITUTET;SKELLEFTEÅ;931 37;;;;;;;;;7193407.000000000000000;1745505.000000000000000
10;6300;SPÅRFILM;1981-03-05 00:00:00.000;1981-06-01 00:00:00.000;88 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;220.0000;;ASK 4;KÅGEVÄGEN 22;;;;;;;;;;FLERPLANSHUS;1956;;BLÅ-BTG;;KÄLLARE;;;7193450.000000000000000;1745475.000000000000000
